pinky,ring,middle,index,thumb,gesture
1179,1227,1307,1063,1518,"default"
1252,1261,1359,1103,1563,"default"
1276,1549,1519,1221,1594,"default"
1427,1726,1637,1347,1623,"default"
1453,1767,1695,1414,1639,"default"
1454,1784,1712,1434,1639,"default"
1489,1819,1750,1494,1648,"default"
1507,1840,1775,1527,1630,"default"
1511,1799,1783,1547,1590,"default"
1525,1828,1776,1552,1600,"default"
1479,1815,1761,1524,1611,"default"
1387,1745,1712,1473,1613,"default"
1219,1434,1466,1232,1525,"default"
1181,1270,1367,1151,1501,"default"
1107,1175,1274,1040,1466,"default"
1102,1163,1264,1008,1459,"default"
1101,1154,1259,989,1463,"default"
1104,1152,1251,995,1456,"default"
1087,1139,1237,980,1454,"default"
1105,1140,1246,983,1456,"default"
1088,1153,1237,987,1470,"default"
1088,1150,1250,981,1460,"default"
1095,1168,1254,977,1461,"default"
1058,1151,1250,983,1462,"default"
1093,1165,1260,996,1457,"default"
1099,1167,1265,990,1471,"default"
1123,1167,1273,1014,1487,"default"
1146,1209,1302,1052,1484,"default"
1170,1243,1335,1078,1499,"default"
1175,1243,1327,1078,1491,"default"
1168,1235,1328,1080,1503,"default"
1180,1251,1330,1085,1503,"default"
1184,1254,1362,1085,1502,"default"
1186,1233,1328,1079,1500,"default"
1179,1261,1334,1081,1490,"default"
1200,1257,1341,1053,1491,"default"
1201,1274,1341,1088,1506,"default"
1214,1329,1399,1123,1517,"default"
1254,1360,1424,1126,1517,"default"
1271,1383,1434,1153,1519,"default"
1291,1417,1455,1170,1486,"default"
1306,1453,1473,1200,1533,"default"
1344,1521,1520,1281,1456,"default"
1362,1582,1547,1327,1427,"default"
1383,1611,1567,1346,1575,"default"
1459,1655,1609,1392,1580,"default"
1392,1648,1584,1389,1578,"default"
1363,1583,1593,1359,1583,"default"
1311,1547,1566,1328,1572,"default"
1265,1393,1453,1251,1561,"default"
1152,1229,1311,1077,1497,"default"
1095,1185,1285,1030,1472,"default"
1122,1156,1272,1008,1462,"default"
1107,1168,1258,1005,1472,"default"
1108,1165,1289,1008,1470,"default"
1104,1166,1266,1008,1462,"default"
1111,1163,1271,1004,1463,"default"
1107,1174,1262,1003,1467,"default"
1111,1170,1279,1009,1466,"default"
1125,1175,1277,1009,1468,"default"
1111,1168,1278,1009,1469,"default"
1119,1184,1279,1014,1472,"default"
1123,1174,1283,1036,1488,"default"
1075,1206,1300,1036,1487,"default"
1155,1210,1311,1050,1495,"default"
1151,1218,1309,1058,1501,"default"
1143,1249,1323,1071,1493,"default"
1175,1234,1325,1083,1478,"default"
1181,1241,1328,1083,1491,"default"
1163,1237,1330,1093,1473,"default"
1178,1245,1329,1094,1506,"default"
1182,1260,1340,1083,1495,"default"
1186,1248,1337,1090,1497,"default"
1197,1251,1340,1082,1495,"default"
1189,1263,1345,1103,1502,"default"
1191,1251,1344,1097,1513,"default"
1197,1254,1345,1100,1515,"default"
1217,1260,1358,1106,1520,"default"
1199,1262,1361,1111,1521,"default"
1207,1271,1353,1130,1525,"default"
1175,1259,1360,1123,1534,"default"
1207,1279,1359,1136,1525,"default"
1206,1277,1359,1125,1527,"default"
1210,1274,1359,1131,1518,"default"
1211,1254,1363,1137,1506,"default"
1201,1280,1348,1136,1521,"default"
1210,1276,1339,1122,1517,"default"
1207,1267,1360,1136,1508,"default"
1193,1274,1360,1126,1515,"default"
1214,1287,1351,1134,1516,"default"
1209,1281,1361,1131,1517,"default"
1232,1284,1369,1135,1518,"default"
1209,1280,1363,1134,1514,"default"
1211,1280,1372,1136,1518,"default"
1211,1285,1364,1137,1519,"default"
1220,1289,1369,1133,1520,"default"
1217,1303,1375,1191,1511,"default"
1232,1296,1377,1152,1526,"default"
1215,1340,1379,1167,1526,"default"
1245,1325,1390,1175,1550,"default"
1261,1354,1406,1200,1533,"default"
1266,1369,1427,1214,1534,"default"
1269,1362,1433,1211,1535,"default"
1264,1367,1430,1213,1549,"default"
1269,1360,1419,1211,1545,"default"
1259,1347,1428,1209,1547,"default"
1277,1369,1426,1212,1549,"default"
1274,1373,1417,1215,1549,"default"
1266,1358,1429,1207,1526,"default"
1265,1362,1425,1196,1504,"default"
1264,1354,1421,1200,1503,"default"
1265,1359,1425,1196,1511,"default"
1251,1360,1426,1185,1517,"default"
1219,1317,1399,1136,1520,"default"
1194,1282,1381,1114,1535,"default"
1167,1277,1360,1094,1504,"default"
1175,1236,1360,1082,1499,"default"
1173,1259,1363,1079,1498,"default"
1168,1254,1348,1067,1499,"default"
1157,1238,1338,1054,1494,"default"
1155,1255,1328,1054,1498,"default"
1151,1222,1329,1049,1487,"default"
1151,1223,1329,1049,1490,"default"
1186,1232,1334,1055,1488,"default"
1158,1231,1335,1074,1506,"default"
